country,year,total_ai_jobs,avg_salary_usd,remote_percentage,top_skill,period_type
USA,2020,78050,109581,81,Python,Historical
USA,2021,5322,116022,30,Python,Historical
USA,2022,55204,157026,39,GCP,Historical
USA,2023,42906,139108,25,GCP,Historical
USA,2024,18847,103070,63,AWS,Historical
USA,2025,28264,157838,78,Computer Vision,Projected
USA,2026,49563,88686,29,Scikit-learn,Projected
India,2020,61572,141737,63,Python,Historical
India,2021,63718,160170,37,TensorFlow,Historical
India,2022,32285,155432,67,NLP,Historical
India,2023,23361,132495,31,PyTorch,Historical
India,2024,23453,107965,26,NLP,Historical
India,2025,24784,129592,26,PyTorch,Projected
India,2026,78139,97930,65,AWS,Projected
Germany,2020,30183,135985,69,Scikit-learn,Historical
Germany,2021,17048,108568,78,Azure,Historical
Germany,2022,31930,124738,63,GCP,Historical
Germany,2023,14857,130421,37,AWS,Historical
Germany,2024,48433,131697,40,Computer Vision,Historical
Germany,2025,61307,76942,79,Azure,Projected
Germany,2026,21320,150323,68,PyTorch,Projected
UK,2020,76091,88490,70,NLP,Historical
UK,2021,67009,138221,40,TensorFlow,Historical
UK,2022,39831,85227,84,PyTorch,Historical
UK,2023,37780,159436,69,Python,Historical
UK,2024,62826,133255,29,PyTorch,Historical
UK,2025,15927,140333,83,AWS,Projected
UK,2026,69344,77388,55,R,Projected
Canada,2020,27240,150343,74,R,Historical
Canada,2021,42282,78606,75,PyTorch,Historical
Canada,2022,29777,113169,73,SQL,Historical
Canada,2023,70396,108982,66,Scikit-learn,Historical
Canada,2024,72874,114911,71,R,Historical
Canada,2025,8294,99435,45,SQL,Projected
Canada,2026,4000,164795,54,PyTorch,Projected
Australia,2020,70178,160724,49,Azure,Historical
Australia,2021,50035,81059,30,Python,Historical
Australia,2022,19255,160260,26,R,Historical
Australia,2023,18251,134856,62,Scikit-learn,Historical
Australia,2024,23885,143568,71,SQL,Historical
Australia,2025,61354,144132,79,GCP,Projected
Australia,2026,57347,108156,71,GCP,Projected
