job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,posted_year,company_size,salary_mid,salary_range,role_category,period_type,market_total_ai_jobs,market_avg_salary_usd,market_remote_percentage,market_top_skill
0IFD0TVBDIVU,MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Entry,0,56873,72223,2023,Large,64548.0,15350.0,Engineering,Historical,18251,134856,62,Scikit-learn
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,2024,Medium,70201.0,30796.0,Analytics,Historical,48433,131697,40,Computer Vision
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,2021,Large,162893.0,25826.0,Engineering,Historical,42282,78606,75,PyTorch
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,2023,Medium,69980.0,32994.0,Analytics,Historical,18251,134856,62,Scikit-learn
F0T0PVN9ER14,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102977,127298,2023,Large,115137.5,24321.0,Engineering,Historical,18251,134856,62,Scikit-learn
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,2021,Large,164084.0,31766.0,Analytics,Historical,5322,116022,30,Python
SHNF877VREN9,AI Researcher,Startup,Tech,USA,Austin,Onsite,Senior,5,143946,173591,2020,Small,158768.5,29645.0,Analytics,Historical,78050,109581,81,Python
1ERTJ5PHT0HL,MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,Senior,5,147177,171959,2023,Small,159568.0,24782.0,Engineering,Historical,18251,134856,62,Scikit-learn
MVIHCWI64CIY,Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,Entry,0,61851,83711,2024,Medium,72781.0,21860.0,Engineering,Historical,23453,107965,26,NLP
DXMO5BXXC02D,Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,Entry,0,57350,69593,2023,Small,63471.5,12243.0,Engineering,Historical,23361,132495,31,PyTorch
P5TB94874FRH,Data Analyst,Startup,Finance,Germany,Munich,Hybrid,Entry,0,56209,65070,2023,Medium,60639.5,8861.0,Analytics,Historical,14857,130421,37,AWS
89UZFK8UT0CV,Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,Senior,5,140931,171640,2020,Small,156285.5,30709.0,Analytics,Historical,76091,88490,70,NLP
5O7UUBCXULJY,AI Researcher,Startup,Healthcare,USA,New York,Onsite,Senior,5,146484,159288,2025,Large,152886.0,12804.0,Analytics,Projected,28264,157838,78,Computer Vision
AWUDTSEMCIKP,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Entry,0,60021,86429,2024,Small,73225.0,26408.0,Analytics,Historical,48433,131697,40,Computer Vision
D5J60FKHMY4S,AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,Senior,5,150392,168879,2026,Medium,159635.5,18487.0,Analytics,Projected,57347,108156,71,GCP
1WJ0TPAC56T4,Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Mid,2,97041,109176,2020,Medium,103108.5,12135.0,Analytics,Historical,78050,109581,81,Python
HID25OWF7593,Data Analyst,Startup,Finance,Germany,Remote,Remote,Mid,2,102067,115885,2026,Medium,108976.0,13818.0,Analytics,Projected,21320,150323,68,PyTorch
FZNBQH7M35IX,Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,Mid,2,104161,107274,2026,Medium,105717.5,3113.0,Analytics,Projected,57347,108156,71,GCP
9T7E8G8JDP0L,Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,Senior,5,146311,173893,2021,Medium,160102.0,27582.0,Analytics,Historical,17048,108568,78,Azure
S3Y70HP87WXE,AI Researcher,Research Lab,Healthcare,USA,Seattle,Onsite,Entry,0,60926,78382,2022,Medium,69654.0,17456.0,Analytics,Historical,55204,157026,39,GCP
GXN0GUO4KH2V,AI Researcher,MNC,Retail,Australia,Brisbane,Hybrid,Entry,0,57244,87138,2021,Large,72191.0,29894.0,Analytics,Historical,50035,81059,30,Python
DSWM31YIHAIR,Data Scientist,MNC,Retail,UK,London,Onsite,Senior,5,154518,175636,2024,Small,165077.0,21118.0,Analytics,Historical,62826,133255,29,PyTorch
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,103130,120225,2025,Large,111677.5,17095.0,Analytics,Projected,61354,144132,79,GCP
WZS3T60RJIW1,Applied Scientist,MNC,Finance,Canada,Vancouver,Onsite,Mid,2,94499,119413,2020,Large,106956.0,24914.0,Analytics,Historical,27240,150343,74,R
M6CFNFHOLQC3,Data Analyst,Research Lab,Tech,Germany,Remote,Remote,Mid,2,104036,123864,2023,Medium,113950.0,19828.0,Analytics,Historical,14857,130421,37,AWS
48P0TVHHPBMY,Data Analyst,Research Lab,Finance,USA,Austin,Hybrid,Mid,2,103770,120315,2021,Large,112042.5,16545.0,Analytics,Historical,5322,116022,30,Python
VXDP5GJLQM5K,Data Analyst,MNC,Tech,Canada,Remote,Remote,Mid,2,97705,105635,2025,Large,101670.0,7930.0,Analytics,Projected,8294,99435,45,SQL
C8BBI4WIRE8Q,AI Researcher,MNC,Finance,USA,San Francisco,Hybrid,Senior,5,149926,174898,2025,Large,162412.0,24972.0,Analytics,Projected,28264,157838,78,Computer Vision
DALY8OZCYWD1,MLOps Engineer,Research Lab,Tech,USA,Remote,Remote,Mid,2,103045,123544,2026,Small,113294.5,20499.0,Engineering,Projected,49563,88686,29,Scikit-learn
NSM43D8W3ZP0,MLOps Engineer,MNC,Education,Germany,Frankfurt,Onsite,Senior,5,153241,172634,2026,Medium,162937.5,19393.0,Engineering,Projected,21320,150323,68,PyTorch
J43D5IQVNB4G,Machine Learning Engineer,MNC,Healthcare,UK,Birmingham,Hybrid,Senior,5,145576,164163,2024,Large,154869.5,18587.0,Engineering,Historical,62826,133255,29,PyTorch
8DZR1YXR2DHY,AI Researcher,Research Lab,Education,Germany,Berlin,Onsite,Senior,5,146046,170507,2024,Large,158276.5,24461.0,Analytics,Historical,48433,131697,40,Computer Vision
ZJJEGET1GHR0,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Mid,2,91647,111360,2022,Small,101503.5,19713.0,Analytics,Historical,31930,124738,63,GCP
ATJ9TZE5R5UQ,Data Analyst,MNC,Finance,Germany,Remote,Remote,Mid,2,90841,113273,2026,Medium,102057.0,22432.0,Analytics,Projected,21320,150323,68,PyTorch
RUYF38DIUOVW,Applied Scientist,MNC,Retail,USA,Remote,Remote,Mid,2,104884,119507,2022,Large,112195.5,14623.0,Analytics,Historical,55204,157026,39,GCP
C8D1WJCITFOY,Data Analyst,MNC,Tech,UK,Birmingham,Hybrid,Senior,5,143792,164440,2025,Medium,154116.0,20648.0,Analytics,Projected,15927,140333,83,AWS
IJ2V2HEIFJFC,AI Researcher,Research Lab,Education,Australia,Sydney,Hybrid,Senior,5,144728,169390,2020,Medium,157059.0,24662.0,Analytics,Historical,70178,160724,49,Azure
7SRCBPLJD84U,Data Scientist,Research Lab,Healthcare,Australia,Brisbane,Hybrid,Mid,2,99441,106318,2026,Small,102879.5,6877.0,Analytics,Projected,57347,108156,71,GCP
6GVWRDMLY4LY,AI Researcher,Research Lab,Retail,UK,Birmingham,Onsite,Mid,2,103329,129920,2024,Small,116624.5,26591.0,Analytics,Historical,62826,133255,29,PyTorch
JE153A5QBSWR,Data Analyst,Startup,Finance,UK,Remote,Remote,Mid,2,94375,122996,2021,Medium,108685.5,28621.0,Analytics,Historical,67009,138221,40,TensorFlow
BW2ZLAOI4E8X,Machine Learning Engineer,MNC,Healthcare,UK,Manchester,Onsite,Entry,0,58337,88114,2022,Medium,73225.5,29777.0,Engineering,Historical,39831,85227,84,PyTorch
TN7S55J2O7S3,AI Researcher,Research Lab,Healthcare,UK,London,Hybrid,Mid,2,103721,124232,2024,Large,113976.5,20511.0,Analytics,Historical,62826,133255,29,PyTorch
TMTTQLGZUI1B,MLOps Engineer,MNC,Retail,UK,Remote,Remote,Mid,2,96325,126747,2026,Large,111536.0,30422.0,Engineering,Projected,69344,77388,55,R
SV55PSQ0OXFQ,AI Researcher,MNC,Education,India,Bangalore,Hybrid,Entry,0,61349,78024,2025,Small,69686.5,16675.0,Analytics,Projected,24784,129592,26,PyTorch
W5RTWIYKID91,MLOps Engineer,Startup,Retail,Germany,Frankfurt,Onsite,Mid,2,92725,127741,2022,Small,110233.0,35016.0,Engineering,Historical,31930,124738,63,GCP
MPIOYGGVNYRU,Machine Learning Engineer,MNC,Healthcare,USA,New York,Hybrid,Mid,2,97529,113366,2025,Small,105447.5,15837.0,Engineering,Projected,28264,157838,78,Computer Vision
FPMVXPJ4HNRI,Applied Scientist,MNC,Education,UK,Birmingham,Hybrid,Senior,5,144847,177913,2022,Small,161380.0,33066.0,Analytics,Historical,39831,85227,84,PyTorch
UY0BVR6K2VMW,Applied Scientist,MNC,Finance,Australia,Melbourne,Hybrid,Entry,0,60293,68183,2025,Large,64238.0,7890.0,Analytics,Projected,61354,144132,79,GCP
U0DK0GET8T63,AI Researcher,MNC,Healthcare,USA,Seattle,Hybrid,Entry,0,62231,76099,2026,Small,69165.0,13868.0,Analytics,Projected,49563,88686,29,Scikit-learn
1IYYO4UDOJEN,MLOps Engineer,Research Lab,Healthcare,UK,Remote,Remote,Entry,0,59577,77485,2026,Large,68531.0,17908.0,Engineering,Projected,69344,77388,55,R
IA5U6HC36KOF,Data Scientist,MNC,Retail,Germany,Remote,Remote,Senior,5,141902,158184,2021,Large,150043.0,16282.0,Analytics,Historical,17048,108568,78,Azure
Y08P0FODRO8B,AI Researcher,Startup,Retail,India,Chennai,Hybrid,Mid,2,97285,112736,2026,Medium,105010.5,15451.0,Analytics,Projected,78139,97930,65,AWS
6XCJ883DHX8B,AI Researcher,Startup,Finance,USA,Austin,Onsite,Senior,5,152893,173500,2021,Small,163196.5,20607.0,Analytics,Historical,5322,116022,30,Python
H5LF6A4FEJGX,Data Scientist,Startup,Tech,Canada,Remote,Remote,Senior,5,145869,162796,2024,Medium,154332.5,16927.0,Analytics,Historical,72874,114911,71,R
B0S0R2SDS8B2,MLOps Engineer,Research Lab,Healthcare,USA,Remote,Remote,Mid,2,97504,126080,2020,Small,111792.0,28576.0,Engineering,Historical,78050,109581,81,Python
DZP6LFEWVZNV,AI Researcher,MNC,Education,UK,Manchester,Hybrid,Senior,5,149919,169096,2020,Large,159507.5,19177.0,Analytics,Historical,76091,88490,70,NLP
5P5O3O0LLJ8Y,Data Analyst,Startup,Tech,USA,Boston,Onsite,Senior,5,153627,157797,2020,Medium,155712.0,4170.0,Analytics,Historical,78050,109581,81,Python
UVULEMX15Z8V,AI Researcher,Startup,Education,USA,Austin,Onsite,Entry,0,58313,71971,2021,Large,65142.0,13658.0,Analytics,Historical,5322,116022,30,Python
MUEKIPU1WYUV,MLOps Engineer,Research Lab,Healthcare,UK,Remote,Remote,Entry,0,50474,70911,2022,Large,60692.5,20437.0,Engineering,Historical,39831,85227,84,PyTorch
GFXC08DTNQFL,AI Researcher,Research Lab,Education,Germany,Hamburg,Hybrid,Entry,0,51391,66723,2021,Small,59057.0,15332.0,Analytics,Historical,17048,108568,78,Azure
CPPVOHSMDYVS,AI Researcher,Startup,Finance,Canada,Remote,Remote,Senior,5,146475,174638,2020,Small,160556.5,28163.0,Analytics,Historical,27240,150343,74,R
1KERPETIUYMO,MLOps Engineer,Startup,Retail,India,Hyderabad,Hybrid,Entry,0,50307,80065,2020,Medium,65186.0,29758.0,Engineering,Historical,61572,141737,63,Python
ZPEAL2W37D4I,Applied Scientist,MNC,Education,Canada,Montreal,Hybrid,Mid,2,91288,117968,2026,Medium,104628.0,26680.0,Analytics,Projected,4000,164795,54,PyTorch
2CWTG1M8XFDJ,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102455,129875,2025,Small,116165.0,27420.0,Engineering,Projected,61354,144132,79,GCP
11Q7UWW5WFCP,AI Researcher,MNC,Education,India,Chennai,Onsite,Mid,2,90920,116532,2024,Small,103726.0,25612.0,Analytics,Historical,23453,107965,26,NLP
C3C54WSQT26Q,Applied Scientist,Research Lab,Finance,Germany,Frankfurt,Hybrid,Entry,0,55267,84824,2023,Large,70045.5,29557.0,Analytics,Historical,14857,130421,37,AWS
